用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈1,注釈2
義務教育,ぎむきょういく,,compulsory education,,,,,,
義務承継人の訴訟引受け,ぎむしょうけいにんのそしょうひきうけ,,assumption of suit by successor of obligation,,,,,,
義務付けの訴え,ぎむづけのうったえ,,mandamus action,,,,,,
記名押印,きめいおういん,,affixing the name and seal,,,,,,【動詞】記名押印する: affix the name and seal
記名式,きめいしき,1,registered,原則,,,,,
記名式,きめいしき,2,open,記名投票の場合,,,,,
記名式,きめいしき,3,special,記名式裏書の場合,,,,,
記名社債,きめいしゃさい,,registered bond,,,,,,
規約,きやく,1,constitution,,労働組合の規約,the constitution of a labor union,労働組合法第5条第2項,,
規約,きやく,2,rules,,事業者又は事業者団体は、…公正な競争を確保するための協定又は規約を締結し、…,An enterprise or a trade association may conclude an agreement or establish rules …,不当景品類及び不当表示防止法第12条,,
規約,きやく,3,bylaws,,,,,,
却下,きゃっか,1,denial,手続きに関する判断についての原則的な場合,,,,,【動詞】却下する：deny
却下,きゃっか,1,denial,手続きに関する判断についての原則的な場合,申立てによってのみ裁判をすべき場合において申立てを却下した決定,an order to deny a petition if a judicial decision is to be made only when a petition is filed,非訟事件手続法第59条第1項第1号,,
却下,きゃっか,1,denial,手続きに関する判断についての原則的な場合,,,,"【注】「上告棄却」など、本案審理を伴わないものは、例外的に""denial""を使用することもある。",
却下,きゃっか,2,dismissal,手続きに関する判断についてであるが、条約が国内法化された法律において条約原文がこの訳語を用いている等の例外的な場合,,,,,【動詞】却下する：dismiss
却下,きゃっか,2,dismissal,手続きに関する判断についてであるが、条約が国内法化された法律において条約原文がこの訳語を用いている等の例外的な場合,日本国返還援助申請の却下,Dismissal of Application for Assistance in Child's Return to Japan,国際的な子の奪取の民事上の側面に関する条約の実施に関する法律第13条,,
休暇,きゅうか,,leave,,,,,,
救急業務,きゅうきゅうぎょうむ,,ambulance service,,,,,,
休業,きゅうぎょう,,(temporary) absence from work,,,,,,
休業給付,きゅうぎょうきゅうふ,,benefit for (temporary) absence from,,,,,,
休業補償,きゅうぎょうほしょう,,compensation for absence from work,,,,,,
休止,きゅうし,1,discontinuance,それ以上継続させない停止,,,,,【動詞】休止する: discontinue
休止,きゅうし,2,suspension,一時休止,,,,,【動詞】休止する: suspend
吸収合併,きゅうしゅうがっぺい,,absorption-type merger,,,,,,
吸収合併契約,きゅうしゅうがっぺいけいやく,,absorption-type merger agreement,,,,,,
吸収合併消滅会社,きゅうしゅうがっぺいしょうめつがいしゃ,,company disappearing in an absorption-type merger,,,,,,
吸収合併消滅株式会社,きゅうしゅうがっぺいしょうめつかぶしきがいしゃ,,stock company disappearing in an absorption-type merger,,,,,,
吸収合併存続会社,きゅうしゅうがっぺいそんぞくがいしゃ,,company surviving an absorption-type merger,,,,,,
吸収合併存続株式会社,きゅうしゅうがっぺいそんぞくかぶしきがいしゃ,,stock company surviving an absorption-type merger,,,,,,
吸収分割,きゅうしゅうぶんかつ,,absorption-type company split,,,,,,
吸収分割会社,きゅうしゅうぶんかつがいしゃ,,company splitting in an absorption-type split,,,,,,
吸収分割株式会社,きゅうしゅうぶんかつかぶしきがいしゃ,,stock company splitting in an absorption-type split,,,,,,
吸収分割契約,きゅうしゅうぶんかつけいやく,,absorption-type company split agreement,,,,,,
吸収分割契約新株予約権,きゅうしゅうぶんかつけいやくしんかぶよやくけん,,share option in an absorption-type company split agreement,,,,,,
吸収分割承継会社,きゅうしゅうぶんかつしょうけいがいしゃ,,company succeeding in an absorption-type split,,,,,,
吸収分割承継株式会社,きゅうしゅうぶんかつしょうけいかぶしきがいしゃ,,stock company succeeding in an absorption-type split,,,,,,
吸収分割承継持分会社,きゅうしゅうぶんかつしょうけいもちぶんがいしゃ,,membership company succeeding in an absorption-type split,,,,,,
救助,きゅうじょ,1,rescue,人命等の救助,人命の救助,rescue of human life,海上交通安全法第9条,,
救助,きゅうじょ,2,aid,裁判上の救助,,,,,
救助,きゅうじょ,3,salvage,海難救助,,,,,
求償権,きゅうしょうけん,1,right to reimbursement,原則,,,,,
求償権,きゅうしょうけん,2,right to indemnification,保証人の求償権の場合,,,,,
求償権,きゅうしょうけん,3,right to remedy over,賠償責任に係る求償権の場合,,,,,
休職,きゅうしょく,,administrative leave,,,,,,
救助の決定,きゅうじょのけってい,,ruling to grant aid,,,,,,
救助料,きゅうじょりょう,,salvage charge,船舶救助料,,,,,
急速,きゅうそく,,urgency,,,,,,【形容詞】急速な: urgent
急速を要する場合,きゅうそくをようするばあい,,in case of urgency,,,,,,
急迫,きゅうはく,,imminence,,,,,,【形容詞】急迫な: imminent
急迫の事情,きゅうはくのじじょう,,pressing circumstances,,委任が終了した場合において、急迫の事情があるときは、…,"In cases where a mandate has terminated, if there are pressing circumstances, …",民法第654条,,
急迫不正の侵害,きゅうはくふせいのしんがい,,imminent and unlawful infringement,,,,,,
給付,きゅうふ,1,performance,原則,不法な原因のために給付をした者は、その給付したものの返還を請求することができない,A person who has tendered performance of an obligation for an illegal cause may not demand the return of the thing tendered,民法第708条,,
給付,きゅうふ,1,performance,原則,,,,,【動詞】給付する: perform
給付,きゅうふ,2,payment,金銭等の場合,災害補償に相当する給付,payments equivalent to accident compensation,労働基準法第84条,,
給付,きゅうふ,2,payment,金銭等の場合,,,,,【動詞】給付する: pay
給付,きゅうふ,3,delivery,物等の場合,債務者が物の給付をするのに必要な行為を完了し、…,"the obligor has completed the acts necessary to deliver the Thing,…",民法第401条第2項,,
給付,きゅうふ,3,delivery,物等の場合,,,,,【動詞】給付する: deliver
給付,きゅうふ,4,benefit,医療給付・傷害給付等、「～給付」等の場合,救済給付,Relief Benefits,石綿に寄る健康被害の救済に関する法律第3条,,
給付,きゅうふ,5,distribution,信託法における給付,,,,,
給付基礎日額,きゅうふきそにちがく,,basic daily benefit amount,,,,,,
旧法,きゅうほう,,former act,,,,,,
休眠会社,きゅうみんがいしゃ,,dormant company,,,,,,
給与準則,きゅうよじゅんそく,,remuneration plan,,,,,,
給与所得,きゅうよしょとく,,salary income,,,,,,
給与所得者等再生,きゅうよしょとくしゃとうさいせい,,"rehabilitation for salaried workers, etc.",,,,,,
給与簿,きゅうよぼ,,payroll,,,,,,
給料,きゅうりょう,1,salary,原則,,,,,
給料,きゅうりょう,2,compensation,俸給その他の用語と区別する必要がある場合,俸給及び給料の支払,payment of salaries and compensation,国家公務員法第13条,,
寄与,きよ,,contribution,,,,,【注】寄与分: amount of contribution（後記「寄与分」参照）,
寄与,きよ,,contribution,,,,,,【動詞】寄与する: contribute
教育,きょういく,1,education,,,,,,【動詞】教育する: educate
教育,きょういく,2,instruction,,災害を受けた児童及び生徒の応急の教育に関する事項,matters involved in temporary instruction of children and school children affected by disaster,災害対策基本法第50条,,
教育,きょういく,2,instruction,,,,,,【動詞】教育する: instruct
教育委員会,きょういくいいんかい,,board of education,,,,,,
教育課程,きょういくかてい,,curriculum,,,,,【複数形の場合】curricula,
共益債権,きょうえきさいけん,,common-benefit claim,,,,,,
共益費用,きょうえきひよう,1,expenses for common benefit,原則,,,,,
共益費用,きょうえきひよう,2,administrative expenses,会社更生・民事再生等の場合,,,,,
境界,きょうかい,,boundary,,,,,,
境界線,きょうかいせん,,boundary line,,,,,,
境界標,きょうかいひょう,,boundary marker,,,,,,
恐喝,きょうかつ,,extortion,,,,,,【動詞】恐喝する: extort
凶器,きょうき,,weapon,,,,,,
協議,きょうぎ,1,consultation,"主として、専門家などの、より詳しい者に意見や助言を求める場合。そのほか、動詞ではなく名詞 ""consultation""を使う場合は、契約当事者間など対等な立場の者の間での話し合いを意味する場合もある",,,,,【動詞】協議する: consult with
協議,きょうぎ,2,deliberation,委員会における委員間での審議や評議など、対等な立場の者が話し合う場合,,,,,【動詞】協議する: deliberate
協議,きょうぎ,3,agreement,合意,協議上の離婚,divorce by agreement,民法第767条,,
協議会,きょうぎかい,1,council,,,,,,
協議会,きょうぎかい,2,(joint) committee,,,,,,
協議上の離婚,きょうぎじょうのりこん,,divorce by agreement,,,,,,
協業組合,きょうぎょうくみあい,,cooperative partnerships,,,,,,
強行規定,きょうこうきてい,,mandatory rules,,,,,,
教唆,きょうさ,1,abetment,,,,,,
教唆,きょうさ,2,solicitation,,,,,,
教唆,きょうさ,3,inducement,,,,,"【注】正犯（被教唆者）が犯罪の実行に着手する必要がある。【Note】""Inducement"" is punishable in case where a principal subsequently commences the commission of a crime.",
教唆,きょうさ,3,inducement,,,,,,【動詞】教唆する: induce
共済掛金,きょうさいかけきん,,mutual aid premium,,,,,,
共済金,きょうさいきん,,mutual aid proceeds,,,,,,
共済組合,きょうさいくみあい,,mutual aid association,,,,,,
共済契約,きょうさいけいやく,,mutual aid contract,,,,,,
共済年金,きょうさいねんきん,,mutual aid pension,,,,,,
教唆者,きょうさしゃ,,abettor,,,,,,
業種,ぎょうしゅ,,business type,,,,,,
供述,きょうじゅつ,,statement,,,,,,
供述者,きょうじゅつしゃ,,declarant,,,,,,
共助,きょうじょ,1,assistance,,,,,,
共助,きょうじょ,2,mutual legal assistance,,,,,,
共助,きょうじょ,3,cooperation,援助ではなく、共同して行う場合,確定裁判の執行の共助,cooperation in the enforcement of final and binding decisions,国際受刑者移送法第1条,,
共助,きょうじょ,3,cooperation,援助ではなく、共同して行う場合,共助刑,cooperative punishment,,,
共助,きょうじょ,3,cooperation,援助ではなく、共同して行う場合,,,,,【形容詞】 cooperative
供する,きょうする,,provide,,公務所の用に供する文書,document provided for use of the public office,刑法第258条,,
行政,ぎょうせい,,administration,,,,,,【形容詞】行政の: administrative
強制換価手続,きょうせいかんかてつづき,,compulsory selling-out procedure,,,,,,
強制管理,きょうせいかんり,,compulsory administration,,,,,,
行政機関,ぎょうせいきかん,,administrative organ,,,,,,
強制競売,きょうせいけいばい,,compulsory auction,,,,,,
行政事件訴訟,ぎょうせいじけんそしょう,,administrative case litigation,,,,,,
強制執行,きょうせいしっこう,,(judicial) enforcement,,訴訟代理人は、委任を受けた事件について、反訴、参加、強制執行、仮差押え及び仮処分に関する訴訟行為をし、かつ、弁済を受領することができる。,"A litigation representative may perform procedural acts involved in a counterclaim, intervention, judicial enforcement, provisional seizure, or provisional disposition and may receive payments, in connection with a case with which the representative has been entrusted.",民事訴訟法第55条第1項,,
強制執行,きょうせいしっこう,,(judicial) enforcement,,,,,"【注】文脈上、""enforcement""の意味が「強制執行」であることが明らかである場合は""judicial""は要しない。",
行政指導,ぎょうせいしどう,,administrative guidance,,,,,,
行政事務,ぎょうせいじむ,,administrative affairs,,,,,,
行政処分,ぎょうせいしょぶん,,administrative disposition,,,,,,
行政措置,ぎょうせいそち,,administrative measure,,,,,,
行政庁,ぎょうせいちょう,,administrative authority,,,,,,
行政手続,ぎょうせいてつづき,,administrative procedure,,行政手続法,Administrative Procedure Act,,,
行政不服審査,ぎょうせいふふくしんさ,,administrative appeal,,,,,,
強制履行,きょうせいりこう,,compulsory performance,,,,,【注】「強制履行」とは、債務者が任意に履行しない場合に、国家機関によって強制的に債権の内容を実現することをいう。,
競争上の地位,きょうそうじょうのちい,,competitive position,,,,,,
供託,きょうたく,,deposit with an official depository,,,,,,
供託金,きょうたくきん,,deposit money (deposited with an official depository),,,,,,
供託所,きょうたくしょ,,official depository,,,,,,
協定,きょうてい,,agreement,,,,,,
共同海損,きょうどうかいそん,,general average,,,,,,
協同組合,きょうどうくみあい,,cooperative,,,,,,
共同原告,きょうどうげんこく,,coplaintiff,,,,,,
共同正犯,きょうどうせいはん,,coprincipal (in crime),,,,,,
共同相続,きょうどうそうぞく,,joint succession,,,,,,
共同相続人,きょうどうそうぞくにん,,coheir,,,,,,
協同組織金融機関,きょうどうそしききんゆうきかん,,cooperative financial institution,,,,,,
共同訴訟,きょうどうそしょう,1,joint suit,,,,,,
共同訴訟,きょうどうそしょう,2,joint action,,,,,,
共同訴訟参加,きょうどうそしょうさんか,,intervention as coparty,,,,,,
共同訴訟人,きょうどうそしょうにん,,coparty (in action),,,,,,
共同著作物,きょうどうちょさくぶつ,,work of joint authorship,,,,,,
共同抵当,きょうどうていとう,,joint mortgage,,,,,,
共同根抵当,きょうどうねていとう,,joint revolving mortgage,,共同根抵当の変更,alterations of joint revolving mortgages,民法第398条の17見出し,,
共同被告,きょうどうひこく,,codefendant,,,,,,
共同被告人,きょうどうひこくにん,,codefendant,,,,,【注】（出典）刑事訴訟法148条,
共同不法行為,きょうどうふほうこうい,,joint tort,,,,,,
共同保証人,きょうどうほしょうにん,,joint guarantor,,,,,,
業として,ぎょうとして,1,on a regular basis,反復・継続して,試験研究のため第一種特定化学物質を業として使用しようとするとき,intends to use a Class I Specified Chemical Substance on a regular basis for testing and research purposes,化学物質の審査及び製造等の規制に関する法律第15条,,
業として,ぎょうとして,2,in the course of trade,営利目的をもって,動物の販売を業として行う者,A person who sells animals in the course of trade,動物の愛護及び管理に関する法律第8条,,
強迫,きょうはく,,duress,,,,,,
脅迫,きょうはく,,intimidation,,,,,,【動詞】脅迫する: intimidate
共犯,きょうはん,1,complicity,共犯関係を指す場合,,,,,
共犯,きょうはん,2,accomplice,共犯である人を指す場合,…身分のない者であっても、共犯とする,…the person is an accomplice even without such status,刑法第65条第1項,,
業務,ぎょうむ,1,operations,,,,,,
業務,ぎょうむ,2,business,,,,,,
業務,ぎょうむ,3,duties,,,,,,
業務規程,ぎょうむきてい,,operational rules,,,,,,
業務災害,ぎょうむさいがい,,employment injury,,,,,,
業務執行,ぎょうむしっこう,,execution of business,,,,,,
業務執行者,ぎょうむしっこうしゃ,1,person who executes (the) business,,,,,,
業務執行者,ぎょうむしっこうしゃ,2,executive,会社法の場合,,,,,
業務執行社員,ぎょうむしっこうしゃいん,1,managing member,,,,,,
業務執行社員,ぎょうむしっこうしゃいん,2,executive member,,,,,,
業務執行取締役,ぎょうむしっこうとりしまりやく,,executive director,,,,,,
業務上,ぎょうむじょう,,in the course of their duties,,弁理士又は弁理士であった者は、正当な理由がなく、その業務上取り扱ったことについて知り得た秘密を漏らし、又は盗用してはならない。,"It is prohibited for a patent attorney or a person that has held this position to divulge or misappropriate any secret learned in the course of their duties, without legitimate grounds for doing so.",弁理士法第第30条第1項,,
業務上,ぎょうむじょう,,in the course of their duties,,,,,"【注】「業務上〇〇する」の動作主が企業や団体の場合、""in the course of business""を用いること。",
業務の委託,ぎょうむのいたく,1,entrustment of operation,,,,,,
業務の委託,ぎょうむのいたく,2,request of the provision of services,,,,,,
業務妨害,ぎょうむぼうがい,,obstruction of business,,,,,,【動詞】業務を妨害する: obstruct business
業務方法書,ぎょうむほうほうしょ,,operational method statement,,,,,,
享有,きょうゆう,,enjoyment,,,,,,【動詞】享有する: enjoy
共有,きょうゆう,,co-ownership,,,,,"【注】「共有」の""co""の後にはハイフンを入れることで統一する",
共有者,きょうゆうしゃ,,co-owners,,,,,,
共有著作権,きょうゆうちょさくけん,,joint copyright,,,,,,
共有物,きょうゆうぶつ,,property in co-ownership,,,,,,
共有物の分割,きょうゆうぶつのぶんかつ,,partition of property in co-ownership,,,,,,
共有持分,きょうゆうもちぶん,,co-ownership interest,,共有持分の買戻特約,co-ownership interest with special agreements on redemption,民法第584条,,
供与,きょうよ,,give,,,,,,【動詞】供与する: give
強要,きょうよう,1,compulsion,,,,,,
強要,きょうよう,2,coercion,,,,,,
強要,きょうよう,3,force,,,,,,
許可,きょか,1,permission,原則,法務大臣は、再入国の許可を与える場合には、当該許可が効力を生ずるものとされた日から五年を超えない範囲内においてその有効期間を定めるものとする。,"When granting re-entry permission, the Minister of Justice must set a term of validity that extends no more than five years beyond the date on which the permission becomes valid.",出入国管理及び難民認定法第26条第3項,,
許可,きょか,1,permission,原則,,,,,【動詞】許可する: permit
許可,きょか,2,license,一回的でなく継続的な許可,事業の許可,Business License,ガス事業法第3条見出し,,
許可,きょか,2,license,一回的でなく継続的な許可,,,,,【動詞】許可する: license
許可抗告,きょかこうこく,,appeal with permission,,,,,,
許可書,きょかしょ,,permit,,,,,,
許可状,きょかじょう,,permit,,,,,,
虚偽,きょぎ,,false,,,,,,
虚偽記載,きょぎきさい,,false statement,,,,,,
虚偽表示,きょぎひょうじ,1,false manifestation of intention,瑕疵ある意思表示の意で用いる場合,相手方と通じてした虚偽の意思表示は、無効とする,Any false manifestation of intention made in collusion with another party(ies) is void,民法第94条,,
虚偽表示,きょぎひょうじ,2,misrepresentation,不実表示の意で用いる場合,,,,,
虚偽表示,きょぎひょうじ,3,simulation,,,,,,
漁業,ぎょぎょう,,fishing industry,,,,,,
極度額,きょくどがく,,maximum amount,,根抵当権の極度額の変更,alterations in the maximum amount of a revolving mortgage,民法第398条の5,,
極度方式基本契約,きょくどほうしききほんけいやく,,basic contract for a revolving credit loan,,,,,,
居住,きょじゅう,,residence,,,,,,【動詞】居住する: reside
居住者,きょじゅうしゃ,,resident,,,,,,
居住地,きょじゅうち,,place of residence,,,,,,
拠出金,きょしゅつきん,,contribution,,当初拠出金,initial contribution,,,
拠出金,きょしゅつきん,,contribution,,売却時拠出金,contribution upon sale,,,
居所,きょしょ,,residence,,,,,,
挙証者,きょしょうしゃ,,party who offers the evidence,,,,,,
拒絶,きょぜつ,1,refusal,,,,,,【動詞】拒絶する: refuse
拒絶,きょぜつ,2,rejection,,（特許の）拒絶査定,rejection decision,,,
拒絶,きょぜつ,2,rejection,,,,,,【動詞】拒絶する: reject
拒絶,きょぜつ,3,denial,,,,,,
拒絶証書,きょぜつしょうしょ,,protest,,,,,,
拒絶審査不服審判,きょぜつしんさふふくしんぱん,,appeal against a rejection,,,,,,
拒絶理由通知,きょぜつりゆうつうち,,notice of grounds for rejection,,,,,,
許諾,きょだく,1,authorization,,,,,,
許諾,きょだく,2,grant,,,,,,
許諾,きょだく,3,permission,,,,,,
拒否,きょひ,1,refusal,,,,,,【動詞】拒否する: refuse
拒否,きょひ,2,rejection,,,,,,
拒否,きょひ,3,denial,,,,,,
拒否,きょひ,4,veto,,,,,,
寄与分,きよぶん,,amount of contribution,,,,,【注】寄与: contribution（前記「寄与」参照）,
許容限度,きょようげんど,,maximum permissible limit,,,,,,
規律,きりつ,,discipline,,,,,,
記録,きろく,,record,,,,,,【動詞】記録する: record
記録の送付,きろくのそうふ,,forwarding of record,,,,,,
記録媒体,きろくばいたい,,recording medium,,,,,,
記録命令付差押え,きろくめいれいつきさしおさえ,,seizure with an order to produce a copy of records,,,,,,
記録命令付差押状,きろくめいれいつきさしおさえじょう,,seizure warrant with an order to produce a copy of records,,,,,,
緊急,きんきゅう,1,emergency,一般的,,,,,
緊急,きんきゅう,2,urgency,「応急に」の意味が含まれている場合。切羽詰っている状態の時。,生物多様性影響を防止するため緊急の必要があると認めるとき,when recognizing urgency to be necessary in order to prevent Adverse Effect on Biological Diversity,遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第10条,,
緊急,きんきゅう,2,urgency,「応急に」の意味が含まれている場合。切羽詰っている状態の時。,,,,,【副詞】緊急に: urgently
緊急災害対策本部,きんきゅうさいがいたいさくほんぶ,,headquarters for emergency disaster control,,,,,,
緊急集会,きんきゅうしゅうかい,,emergency session,,,,,,
緊急上陸,きんきゅうじょうりく,,emergency landing,,,,,,
緊急の必要,きんきゅうのひつよう,,urgent necessity,,,,,,
緊急避難,きんきゅうひなん,1,necessity,,,,,,
緊急避難,きんきゅうひなん,2,emergency evacuation,検疫法の場合,,,,,
禁錮,きんこ,,imprisonment without work,,懲役、禁錮、旧拘留及び刑法等一部改正法第二条の規定による改正後の刑法（以下「新刑法」という。）第九条に規定する主刑の軽重は、死刑、懲役、拘禁刑、禁錮、罰金、拘留、旧拘留及び科料の順序による。,"The following is the order of severity that applies to imprisonment under the former Penal Code, imprisonment without work under the former Penal Code, penal detention under the former Penal Code, and the principal punishments provided for in Article 9 of the Penal Code following its amendment under the provisions of Article 2 of the Act Partially Amending the Penal Code and Related Acts (referred to below as ""the new Penal Code""): the death penalty, imprisonment under the former Penal Code, imprisonment under the new Penal Code, imprisonment without work under the former Penal Code, fines, penal detention, penal detention under the former Penal Code, and petty fines.",刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律第444条,,
禁錮以上の刑に処せられた者,きんこいじょうのけいにしょせられたもの,,a person who has been sentenced to imprisonment without work or heavier punishment,,,,,,
銀行債券,ぎんこうさいけん,,bank bond,,,,,,
禁止,きんし,1,prohibition,,,,,,【動詞】禁止する: prohibit
禁止,きんし,2,ban,,通行禁止,traffic ban,災害対策基本法第76条の2,,
禁止,きんし,2,ban,,坑内労働の禁止,Ban on Belowground Labor,労働基準法第70条,,
禁止,きんし,2,ban,,,,,,【動詞】禁止する: ban
禁止,きんし,3,restriction,,,,,,【動詞】禁止する: restrict
禁止命令,きんしめいれい,1,prohibitory injunction,,,,,,
禁止命令,きんしめいれい,2,stay order,破産法の場合,,,,,
近親者,きんしんしゃ,,close relative,,,,,,
金銭,きんせん,,money,,,,,,【形容詞】金銭的な: monetary
金銭債権,きんせんさいけん,,monetary claim,,,,,,
金銭債務,きんせんさいむ,,monetary debt,,,,,,
金銭信託,きんせんしんたく,,money trust,,,,,,
金品,きんぴん,,money and goods,,,,,,
勤務,きんむ,1,work,原則,,,,,【動詞】勤務する: work
勤務,きんむ,2,service,公務員の勤務,,,,,【動詞】勤務する: serve
勤務実績,きんむじっせき,,work record,,,,,,
勤務条件,きんむじょうけん,,working terms and conditions,,,,,,
金融機関,きんゆうきかん,,financial institution,,,,,,
金融商品,きんゆうしょうひん,,financial instruments,,,,,,
金融商品仲介業,きんゆうしょうひんちゅうかいぎょう,,financial instruments intermediary service,,,,,,
金融商品仲介業者,きんゆうしょうひんちゅうかいぎょうしゃ,,financial instruments intermediary service provider,,,,,,
金融商品仲介行為,きんゆうしょうひんちゅうかいこうい,,intermediation for financial instruments,,,,,,
金融商品取引業,きんゆうしょうひんとりひきぎょう,,financial instruments business,,,,,,
金融商品取引業者,きんゆうしょうひんとりひきぎょうしゃ,,financial instruments business operator,,,,,"【注】「financial instruments business operator」は、これはFIBOと略記されることもあるが、金融商品取引法で定義された法令用語「金融商品取引業者」に対する日本ではある程度定着した訳語である。それは実際には、証券会社や投資助言、投資運用などを営む会社を意味する。しかし、operatorは英語では通常は機械設備の操作人を意味し、ビジネスではtour operatorなど限定的にしか使われないことから、この訳語は英語国人には多少違和感があるようである。その点を考慮するなら、「financial services provider」という訳語が、英語国人にはより抵抗が少ないだろう。【Note】""Financial instruments business operator,"" occasionally abbreviated as FIBO, is customarily used in Japan as a translation  for the Japanese legal term ""金融商品取引業者"" defined in the Financial Instruments and Exchange Act. The term actually indicates firms such as securities corporations, and companies conducting investment advisory and investment management.  However, this translation sounds unnatural to English speakers, since ""operator"" usually means a person who operates machinery and equipment, or some limited occupations such as ""tour operator"" in the business scene. Considering actual usage among English speakers, ""financial services provider"" would be a more appropriate translation for this term.",
金融商品取引業協会,きんゆうしょうひんとりひきぎょうきょうかい,,financial instruments firms association,,,,,,
金融商品取引所,きんゆうしょうひんとりひきじょ,,financial instruments exchange,,,,,,
勤労者財産形成住宅貯蓄,きんろうしゃざいさんけいせいじゅうたくちょちく,,workers' property accumulation housing savings,,,,,,
勤労者財産形成年金貯蓄,きんろうしゃざいさんけいせいねんきんちょちく,,workers' property accumulation pension savings,,,,,,
区域,くいき,1,area,,,,,,
区域,くいき,2,zone,,通行禁止区域等,traffic ban zones,災害対策基本法第76条の3,,
区域,くいき,3,section,,,,,,
偶発債務,ぐうはつさいむ,,contingent liability,会計勘定科目,,,,,
区検察庁,くけんさつちょう,,Local Public Prosecutors Office,,,,,,
くじ,くじ,,drawing of lots,,,,,,
苦情,くじょう,,complaint,,,,,,
苦情処理,くじょうしょり,,complaint processing,,,,,,
区長,くちょう,1,mayor of special ward,特別区の場合,,,,,
区長,くちょう,2,director of ward,一般の区、総合区の場合,,,,,
区長,くちょう,3,headman of ward,一般の区、総合区の場合,,,,,
国,くに,1,the State,原則,,,,,
国,くに,2,national government,地方公共団体と比較する場合,,,,,
国の機関,くにのきかん,,national government organ,,国の行政機関,national government administrative organ,,,
区分経理,くぶんけいり,,separate accounting,,,,,,
組合,くみあい,,partnership,民法上の組合,,,,,
組合員,くみあいいん,1,partner,第三者や組合員相互の権利や責任を論ずる場合,,,,,
組合員,くみあいいん,2,member,組合への参加者としての意味の場合,,,,,
組合財産,くみあいざいさん,,partnership property,,,,,,
区役所,くやくしょ,,ward office,,市役所、区役所、町村役場又はこれらに準ずる施設,"city office, ward office, or town hall or any facility equivalent to the above",民法第98条第2項,,
倉荷証券,くらにしょうけん,,warehouse receipt,,,,,,
繰越し,くりこし,,carry forward,,,,,,
繰延資産,くりのべしさん,,deferred assets,会計勘定科目,,,,,
繰延税金資産,くりのべぜいきんしさん,,deferred tax assets,会計勘定科目,,,,,
繰延税金負債,くりのべぜいきんふさい,,deferred tax liability,会計勘定科目,,,,,
繰延ヘッジ損益,くりのべへっじそんえき,,deferred gains or losses on hedges,会計勘定科目,,,,,
繰戻し,くりもどし,,carry back,,,,,,
軍属,ぐんぞく,,the civilian military,,,,,,
刑,けい,,punishment,,,,,,
契印,けいいん,,seal to confirm page continuation,,,,,,
経営,けいえい,1,management,管理、管理者側（経営側）,経営の基本方針,basic management policy,会社法第416条第1項第1号イ,,
経営,けいえい,1,management,管理、管理者側（経営側）,,,,,【動詞】経営する: manage
経営,けいえい,2,operation,事業の運営,事業経営上の特別の必要に基づき、物品を買い入れ若しくは製造させ、造林をさせ又は土地若しくは建物を借り入れるとき。,"when purchasing an article or having it manufactured, having a forest planted, or borrowing land or buildings, based on a special necessity in business operations;",予算決算及び会計令第99条第23号,,
経営,けいえい,2,operation,事業の運営,,,,,【動詞】経営する: operate
経営,けいえい,3,business,経営の状況,その他当該銀行持株会社の経営に重要な影響を及ぼす事象,or any other event that has a significant effect on the business of the bank holding company,銀行法施行規則第34条の26第1項第6号,,
計画,けいかく,1,plan,,,,,,
計画,けいかく,2,program,,,,,,
計画審理,けいかくしんり,,well-organized proceedings,,,,,,
計画的に,けいかくてきに,,systematically,,,,,,
経過措置,けいかそち,,transitional measure,,,,,,
刑期,けいき,,term (of sentence),,,,,,
警告,けいこく,,warning,,,,,,【動詞】警告する: warn
掲載,けいさい,,publication,,,,,,【動詞】掲載する: publish
掲載された,けいさいされた,,published,,,,,,
警察官,けいさつかん,,police officer,,,,,,
警察署,けいさつしょ,,police station,,,,,,
警察本部長,けいさつほんぶちょう,,Chief of Prefectural Police Headquarters,,,,,,
計算,けいさん,1,account,会計上の計算,自己の営業のためにその計算において,for the person's own business based on the person's own account,,,
計算,けいさん,1,account,会計上の計算,,,,,【動詞】計算する: account
計算,けいさん,2,calculation,期間等の計算,期間の計算の通則,Common Rules on Calculation of Period,民法第138条,,
計算,けいさん,2,calculation,期間等の計算,延滞金の計算,calculation of penal interest,石綿による健康被害の救済に関する法律第50条の3,,
計算,けいさん,2,calculation,期間等の計算,,,,,【動詞】計算する: calculate
計算書類,けいさんしょるい,,financial statements,,,,,,
掲示,けいじ,1,posting,,掲示場に掲示すること,posting the notice at the posting area,行政手続法第15条,,
掲示,けいじ,1,posting,,,,,,【動詞】掲示する: post
掲示,けいじ,2,display,,,,,,【動詞】掲示する: display
掲示,けいじ,3,notification,,,,,,
刑事施設,けいじしせつ,1,penal institution,原則,,,,,
刑事施設,けいじしせつ,2,prison,刑務所の場合に可,,,,,
刑事訴訟,けいじそしょう,1,criminal procedure,「刑事訴訟法」の場合,,,,,
刑事訴訟,けいじそしょう,2,criminal proceedings,,,,,,
刑事訴追,けいじそつい,,criminal prosecution,,,,,,
形質,けいしつ,,characteristic,,,,,,
軽車両,けいしゃりょう,,light vehicle,,,,,,
経常損失,けいじょうそんしつ,,ordinary loss,会計勘定科目,,,,,
